condition,task,acc,f1,auroc
LSTM_wearable_only,phase,0.3423967774420947,0.33084965886430073,0.6205818346946914
XGB_wearable_only,phase,0.35347432024169184,0.3281192062958141,0.6331285407944037
LSTM_hormone_only,phase,0.5035246727089627,0.4966292980524971,0.7546699616124397
XGB_hormone_only,phase,0.5498489425981873,0.5435467398211281,0.7749939796972667
LSTM_selfreport_only,phase,0.4561933534743202,0.41629696044736486,0.6761139965539186
XGB_selfreport_only,phase,0.4602215508559919,0.43284178728431844,0.6951990031206599
LSTM_wear_hormone,phase,0.5337361530715005,0.5320780858398642,0.7759046327838035
XGB_wear_hormone,phase,0.5387713997985901,0.5372534740654973,0.782018252520004
LSTM_wear_selfreport,phase,0.4380664652567976,0.4088406988614224,0.6934872052156974
XGB_wear_selfreport,phase,0.4420946626384693,0.42866450788510146,0.7074223802657392
LSTM_hormone_selfreport,phase,0.5599194360523666,0.5544534397666676,0.8047751610881326
XGB_hormone_selfreport,phase,0.5911379657603223,0.5854969173704406,0.8213186580074491
LSTM_all_modalities,phase,0.5085599194360524,0.5121767504900261,0.7678137948779206
XGB_all_modalities,phase,0.5498489425981873,0.544763906579098,0.8160485525436938
