model,task,acc,f1,auroc
LR_phase_test,phase,0.4914400805639476,0.4969843459166121,0.7437714629937097
LR_phase_test,phase,0.4914400805639476,0.4969843459166121,0.7437714629937097
LR_fertility_test,fertility,0.7209533267130089,0.47866419294990725,0.7100115074798619
XGB_phase_test,phase,0.5297079556898288,0.528002448106859,0.8088530607628952
XGB_fertility_test,fertility,0.817279046673287,0.518324607329843,0.7841306372951943
LSTM_phase_test,phase,0.49345417925478346,0.4991397122109932,0.7480889540524
LSTM_fertility_test,fertility,0.7477656405163853,0.5207547169811321,0.7703326209655323
Transformer_phase_test,phase,0.5115810674723061,0.5152315846553844,0.7648783189204935
Transformer_fertility_test,fertility,0.7378351539225422,0.48638132295719844,0.7414598060167681
