pid,n_train_win,n_test_win,acc,f1,auroc
1,4791,84,0.7619047619047619,0.727211271471006,0.9272231107004054
2,4791,84,0.7976190476190477,0.7517436267436267,0.9568472310188001
3,4791,84,0.6071428571428571,0.5725459482038429,0.8477648861501416
4,4791,84,0.6666666666666666,0.6096124084525679,0.8646695373855152
6,4791,84,0.4523809523809524,0.42954776422764224,0.7233796097644711
7,4791,84,0.8571428571428571,0.8365979860917324,0.971744161365187
8,4791,84,0.6309523809523809,0.5743227669786077,0.8232502093406636
9,4701,184,0.43478260869565216,0.44206562735399313,0.7366460780688756
10,4715,169,0.46745562130177515,0.4462062017789572,0.8389108212909403
11,4791,84,0.39285714285714285,0.3428649237472767,0.8196612897858199
12,4699,186,0.8172043010752689,0.8017672702349454,0.9498051494596157
13,4702,183,0.5901639344262295,0.5698837743580473,0.8802847423168495
14,4701,184,0.5434782608695652,0.5469312816926035,0.837574591165862
15,4791,84,0.8809523809523809,0.7962979094076654,0.983271602996697
16,4791,84,0.6190476190476191,0.6020750988142293,0.9034712886753703
18,4706,179,0.5977653631284916,0.49821194872536045,0.8819019044032976
19,4791,84,0.7142857142857143,0.6647769838068346,0.9004954368798824
20,4700,185,0.6756756756756757,0.6751778842942938,0.9039497046794535
22,4701,184,0.5760869565217391,0.5506717875620315,0.9019850178672606
23,4791,84,0.7142857142857143,0.710328397093103,0.9462468188147851
24,4791,84,0.6547619047619048,0.6609757556722154,0.8733122557899871
26,4683,204,0.6568627450980392,0.5814753512121087,0.8852388697534448
27,4699,186,0.3870967741935484,0.32386902360733283,0.6424051000773812
29,4818,54,0.5555555555555556,0.5367070127939693,0.8285024673829966
30,4701,184,0.20652173913043478,0.1687069736486346,0.46757507572793694
32,4761,118,0.211864406779661,0.2139091227503701,0.5669728317393914
33,4698,188,0.526595744680851,0.5243764172335601,0.8088236030578976
34,4791,84,0.5595238095238095,0.5748491455250176,0.8453532925274585
37,4791,84,0.5119047619047619,0.4162055780476833,0.7789419545381342
38,4699,186,0.40860215053763443,0.4003700840887265,0.685083773200242
39,4791,84,0.32142857142857145,0.28567092765835894,0.7714426197611997
40,4791,84,0.27380952380952384,0.2322511717673008,0.6142916246372422
41,4700,185,0.7243243243243244,0.7113195926167089,0.9515246128704825
42,4689,198,0.6111111111111112,0.6074721291784152,0.8407254387125216
43,4705,180,0.5611111111111111,0.5376941202510613,0.8495310964343008
44,4791,84,0.8095238095238095,0.7946969696969697,0.9658549067775257
45,4791,84,0.7857142857142857,0.7542728963781595,0.9751433642759714
46,4791,84,0.5,0.4495476639789558,0.8312436148701905
47,4698,187,0.37433155080213903,0.2935165794066318,0.6726433205986183
48,4701,184,0.592391304347826,0.5763339718257752,0.8348496735595228
49,4838,32,0.65625,0.5446428571428572,0.9046886084929564
50,4698,187,0.6524064171122995,0.6507408182430638,0.8767138063112714
